roi,band,metric_type,contrast,contrast_label,n_full,full_dz,half_dz_mean,half_dz_sd,ci95_lo,ci95_hi,dir_agree_pct,reliable,n_valid_iters
FC_midline,alpha2,peak_height,WS->LSS1,WS → LSS1,61,-2.2293,-2.2516,0.2271,-2.76,-1.8773,100.0,True,1000
FC_midline,beta1,band_power,WS->TS,WS → TS,61,-1.2342,-1.2632,0.1754,-1.657,-0.991,100.0,True,1000
FC_midline,beta1,band_power,TS->ESS1,TS → ESS1,61,-1.1204,-1.1376,0.1611,-1.4782,-0.8599,100.0,True,1000
FC_midline,beta1,band_power,ESS1->LSS1,ESS1 → LSS1,61,0.7263,0.7333,0.1415,0.4975,1.0435,100.0,True,1000
FC_midline,beta1,band_power,WS->ESS1,WS → ESS1,61,-1.7062,-1.7257,0.176,-2.1289,-1.4395,100.0,True,1000
FC_midline,beta1,band_power,WS->LSS1,WS → LSS1,61,-0.8697,-0.8731,0.1441,-1.1781,-0.6205,100.0,True,1000
FC_midline,beta1,peak_height,WS->TS,WS → TS,61,-0.4228,-0.4222,0.1284,-0.6737,-0.1839,99.9,True,1000
FC_midline,beta1,peak_height,TS->ESS1,TS → ESS1,61,-0.27,-0.2703,0.1165,-0.4847,-0.0284,98.6,True,1000
FC_midline,beta1,peak_height,ESS1->LSS1,ESS1 → LSS1,61,0.5982,0.6015,0.1062,0.4012,0.8173,100.0,True,1000
FC_midline,beta1,peak_height,WS->ESS1,WS → ESS1,61,-0.5129,-0.5239,0.1323,-0.7984,-0.2819,100.0,True,1000
FC_midline,beta1,peak_height,WS->LSS1,WS → LSS1,61,-0.0104,-0.0171,0.1358,-0.2839,0.2493,54.7,False,1000
FC_midline,beta2,band_power,WS->TS,WS → TS,61,-1.617,-1.6504,0.1949,-2.1086,-1.3374,100.0,True,1000
FC_midline,beta2,band_power,TS->ESS1,TS → ESS1,61,-1.5073,-1.5381,0.1977,-1.9726,-1.2159,100.0,True,1000
FC_midline,beta2,band_power,ESS1->LSS1,ESS1 → LSS1,61,-0.3792,-0.3784,0.1321,-0.6391,-0.1148,99.9,True,1000
FC_midline,beta2,band_power,WS->ESS1,WS → ESS1,61,-2.1103,-2.1374,0.2651,-2.7942,-1.7463,100.0,True,1000
FC_midline,beta2,band_power,WS->LSS1,WS → LSS1,61,-2.6617,-2.6853,0.252,-3.2019,-2.2617,100.0,True,1000
FC_midline,beta2,peak_height,WS->TS,WS → TS,61,-0.6954,-0.698,0.1469,-1.0183,-0.4336,100.0,True,1000
FC_midline,beta2,peak_height,TS->ESS1,TS → ESS1,61,-0.8163,-0.838,0.1532,-1.1792,-0.5883,100.0,True,1000
FC_midline,beta2,peak_height,ESS1->LSS1,ESS1 → LSS1,61,-0.2628,-0.2549,0.1448,-0.5519,0.0164,97.1,True,1000
FC_midline,beta2,peak_height,WS->ESS1,WS → ESS1,61,-1.3009,-1.2998,0.1714,-1.6822,-0.9946,100.0,True,1000
FC_midline,beta2,peak_height,WS->LSS1,WS → LSS1,61,-1.4192,-1.4247,0.1437,-1.7583,-1.1976,100.0,True,1000
FC_midline,beta3,band_power,WS->TS,WS → TS,61,-0.6746,-0.6951,0.1661,-1.0665,-0.4269,100.0,True,1000
FC_midline,beta3,band_power,TS->ESS1,TS → ESS1,61,-1.0729,-1.1193,0.2114,-1.6284,-0.8096,100.0,True,1000
FC_midline,beta3,band_power,ESS1->LSS1,ESS1 → LSS1,61,-0.6578,-0.6679,0.1277,-0.9183,-0.4337,100.0,True,1000
FC_midline,beta3,band_power,WS->ESS1,WS → ESS1,61,-1.3805,-1.401,0.1835,-1.8471,-1.0984,100.0,True,1000
FC_midline,beta3,band_power,WS->LSS1,WS → LSS1,61,-2.2672,-2.292,0.2136,-2.78,-1.9136,100.0,True,1000
FC_midline,beta3,peak_height,WS->TS,WS → TS,61,0.1419,0.1496,0.1351,-0.1118,0.4293,86.8,False,1000
FC_midline,beta3,peak_height,TS->ESS1,TS → ESS1,61,-0.001,0.0034,0.1319,-0.2626,0.2465,48.5,False,1000
FC_midline,beta3,peak_height,ESS1->LSS1,ESS1 → LSS1,61,-0.5916,-0.5987,0.1368,-0.8856,-0.3538,100.0,True,1000
FC_midline,beta3,peak_height,WS->ESS1,WS → ESS1,61,0.1366,0.1415,0.1383,-0.1044,0.4421,85.1,False,1000
FC_midline,beta3,peak_height,WS->LSS1,WS → LSS1,61,-0.1603,-0.1554,0.1307,-0.3892,0.1147,88.0,False,1000
IPG,delta,band_power,WS->TS,WS → TS,61,-0.4309,-0.4457,0.1398,-0.7492,-0.1998,99.9,True,1000
IPG,delta,band_power,TS->ESS1,TS → ESS1,61,0.4736,0.498,0.1724,0.2083,0.8635,100.0,True,1000
IPG,delta,band_power,ESS1->LSS1,ESS1 → LSS1,61,1.5222,1.5436,0.1925,1.2365,1.9607,100.0,True,1000
IPG,delta,band_power,WS->ESS1,WS → ESS1,61,-0.1002,-0.0875,0.1386,-0.3282,0.2102,75.2,False,1000
IPG,delta,band_power,WS->LSS1,WS → LSS1,61,0.9857,1.0321,0.2813,0.646,1.7339,100.0,True,1000
