iteration,value
0,3.497797663553796
1,3.506688497894639
2,3.582142199182526
3,3.493787456833725
4,3.502232720018312
5,3.600243000310896
6,3.517301360009416
7,3.487925634934376
8,3.6028729634134233
9,3.5935380053362085
10,3.657532673415973
11,3.4943689865056133
12,3.630952541531729
13,3.462045458782581
14,3.5651064468917237
15,3.478572652427081
16,3.5647727839718484
17,3.5992786535869774
18,3.6622448757887476
19,3.5397812213186253
20,3.6031227007464217
21,3.542826193890807
22,3.517772069599891
23,3.5150922508984137
24,3.4076748862365402
25,3.4916050267218104
26,3.617817114586975
27,3.571023753454321
28,3.479417778297045
29,3.5310241368543385
30,3.497094895915116
31,3.555465122438006
32,3.5855404745477117
33,3.4508862884382987
34,3.576966508569004
35,3.4448395243412544
36,3.518847093195666
37,3.526031953322458
38,3.531568330745038
39,3.5393754968423288
40,3.5208682043914186
41,3.523722595563087
42,3.5284227849812813
43,3.59725547908379
44,3.5648278350994658
45,3.5327547058712927
46,3.5847363915050114
47,3.540304581625448
48,3.50116247336393
49,3.499545684641809
50,3.570681446881953
51,3.4394298524493636
52,3.49832435242987
53,3.4929187191288102
54,3.537284618077438
55,3.6360376108819064
56,3.6200334611327
57,3.441139069616162
58,3.512709649483622
59,3.6164876924315283
60,3.4767552165514846
61,3.4888359173938777
62,3.497674096103508
63,3.497307054111397
64,3.5316747142823046
65,3.4404883461631672
66,3.5317460728579433
67,3.5545964407183996
68,3.597871087548618
69,3.5874769467765057
70,3.5557551615763656
71,3.5368013766616464
72,3.5136007009567436
73,3.548076829437455
74,3.534041688487656
75,3.554685476950471
76,3.585795983281983
77,3.5084172786925434
78,3.5259830030750354
79,3.611330082358925
80,3.414527889654414
81,3.4537969865523994
82,3.50624246966865
83,3.486711210896934
84,3.6465510416352793
85,3.4721945761836763
86,3.52676350671442
87,3.5719673316190885
88,3.441358856240704
89,3.52995666375794
90,3.6506044108121576
91,3.4533155166487113
92,3.49978555842871
93,3.617468167212916
94,3.51943685078896
95,3.606881762482178
96,3.524607997378355
97,3.598518677902856
98,3.505602987626011
99,3.6214902711851074
100,3.4549947041007614
101,3.5692746501336465
102,3.5444941128226706
103,3.5954735530727917
104,3.4937571081156578
105,3.5380218862388837
106,3.500195639836902
107,3.54420660605974
108,3.523059314754
109,3.5601604779074867
110,3.521915967518806
111,3.560991896084982
112,3.497794744679251
113,3.5560722415018007
114,3.570397545123647
115,3.589893056219543
116,3.3865360299937732
117,3.5603415955911992
118,3.5818524296876793
119,3.5381679076327486
120,3.5278443449059087
121,3.514840967684394
122,3.596460503720478
123,3.5228371005952575
124,3.5079293665175606
125,3.5611369501100456
126,3.5391022146558684
127,3.5294834082822946
128,3.5469266513219
129,3.6161505719689053
130,3.554848962191148
131,3.6166796843377598
132,3.5824161867707542
133,3.449026905249709
134,3.4238016976241283
135,3.4920206380166494
136,3.5038854371918067
137,3.5585413972445408
138,3.500469361392579
139,3.4057728266273406
140,3.50490305506695
141,3.6414871899765786
142,3.5035432152452337
143,3.563478947624867
144,3.526148817578363
145,3.466992922901796
146,3.510361942240913
147,3.5015837389140074
148,3.4942433865540905
149,3.514673050508685
150,3.4727769703600826
151,3.610052704507373
152,3.602423023752808
153,3.6146023716255122
154,3.4044506896931366
155,3.5047987102367864
156,3.5659034229613913
157,3.5803990042679414
158,3.615058797286426
159,3.524475091172269
160,3.624880796332648
161,3.5580924621199737
162,3.5183809820971343
163,3.555960782365799
164,3.526017235336819
165,3.5340098663157593
166,3.5449326492896547
167,3.5432841220152653
168,3.548499280993172
169,3.443831329941138
170,3.473478851411026
171,3.4819872398708753
172,3.555014138788426
173,3.6409306819032365
174,3.56028135545803
175,3.6106526873823586
176,3.558993954054227
177,3.458533803234466
178,3.507516992450615
179,3.4860152309510615
180,3.478284245795546
181,3.524430966739794
182,3.4664127856624596
183,3.441918234956102
184,3.5285559970099567
185,3.5451658575657317
186,3.470897052727187
187,3.64045707796156
188,3.5523853031364054
189,3.439739150949805
190,3.4677032919190007
